지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),운형(운형약어),지면온도(°C)
108,서울,2014-01-01 02:00,1.7,,1.7,250,67,4.6,-3.7,1002.4,,,,,,-.3
108,서울,2014-01-01 03:00,1.4,,1.4,250,60,4.1,-5.5,1002.2,,,,0,,-.4
108,서울,2014-01-01 04:00,.9,,2.8,270,59,3.8,-6.2,1002.5,,,,0,,-.6
108,서울,2014-01-01 05:00,.6,,2,270,56,3.6,-7.1,1002.1,,,,0,,-.7
108,서울,2014-01-01 06:00,.7,,2.3,230,53,3.4,-7.8,1002.1,,,,0,,-1.1
108,서울,2014-01-01 07:00,.7,,1.7,230,55,3.5,-7.3,1002.5,,,,0,,-1.3
108,서울,2014-01-01 08:00,.5,,1.6,230,55,3.5,-7.5,1002.9,0,0,,0,,-1.5
108,서울,2014-01-01 09:00,1.8,,2.3,230,54,3.8,-6.5,1003.6,0,.16,,3,Sc,-.2
108,서울,2014-01-01 10:00,3.6,,2.9,230,55,4.3,-4.6,1003.9,.6,.38,,6,Sc,.2
108,서울,2014-01-01 11:00,5.4,,5.3,250,55,4.9,-2.9,1003.6,.7,.62,,6,Sc,.7
108,서울,2014-01-01 12:00,7,0,5.3,270,44,4.4,-4.4,1003.4,1,1.04,,6,Sc,2
108,서울,2014-01-01 13:00,6.7,,7.2,270,51,5,-2.7,1003.2,.9,1.13,,6,Sc,2
108,서울,2014-01-01 14:00,7.1,,5.5,270,45,4.5,-4,1002.4,.7,.79,,3,Sc,4.4
108,서울,2014-01-01 15:00,7.6,,5.2,270,29,3,-9.3,1002.2,1,1.08,,6,AcCi,3.5
108,서울,2014-01-01 16:00,7.6,,5.9,250,33,3.5,-7.6,1002.4,1,.73,,0,,1.5
108,서울,2014-01-01 17:00,6.6,,5.5,250,53,5.2,-2.3,1002.8,.5,.23,,0,,.7
108,서울,2014-01-01 18:00,6.1,,4.5,230,59,5.6,-1.3,1003,0,.01,,2,ScCi,0
108,서울,2014-01-01 19:00,5.9,,3.5,230,66,6.1,0,1003.4,,,,,,.2
108,서울,2014-01-01 20:00,5.6,,5.3,270,61,5.6,-1.3,1003.9,,,,,,0
108,서울,2014-01-01 21:00,4.9,,3.5,270,67,5.8,-.7,1004.9,,,,0,,.1
108,서울,2014-01-01 22:00,4.3,,3.8,270,61,5.1,-2.5,1005.7,,,,,,.1
108,서울,2014-01-01 23:00,3.6,,3.9,270,50,4,-5.8,1006.8,,,,,,0
108,서울,2014-01-02 00:00,2.8,,3.5,290,44,3.3,-8.2,1007.6,,,,0,,-.1
108,서울,2014-01-02 01:00,2,,1.8,320,46,3.2,-8.4,1007.9,,,,,,-.3
108,서울,2014-01-02 02:00,1,,.8,230,46,3,-9.3,1008.2,,,,,,-.4
108,서울,2014-01-02 03:00,.3,,.7,320,50,3.1,-8.9,1008.5,,,,0,,-.6
108,서울,2014-01-02 04:00,.1,,3,290,50,3.1,-9.1,1009,,,,0,,-.7
108,서울,2014-01-02 05:00,-.5,,1.8,290,46,2.7,-10.7,1009.2,,,,0,,-1
108,서울,2014-01-02 06:00,-.8,,2,290,50,2.9,-9.9,1009.9,,,,0,,-1.3
108,서울,2014-01-02 07:00,-1.1,,1.8,290,49,2.8,-10.4,1011,,,,0,,-1.7
108,서울,2014-01-02 08:00,-1.2,,1.9,320,48,2.7,-10.8,1011.5,0,0,,0,,-1.9
108,서울,2014-01-02 09:00,-.9,,.8,20,36,2.1,-14.1,1011.9,.9,.25,,1,Ci,-1.1
108,서울,2014-01-02 10:00,.8,,3.5,290,29,1.9,-15.2,1012.5,1,.77,,0,,.3
108,서울,2014-01-02 11:00,2.6,,3.1,270,23,1.7,-16.5,1012.8,1,1.22,,0,,.8
108,서울,2014-01-02 12:00,3.7,,3,270,22,1.7,-16.1,1012.1,1,1.49,,0,,2.6
108,서울,2014-01-02 13:00,4.9,,3.4,250,20,1.7,-16.2,1011.3,1,1.6,,1,Ci,2.3
108,서울,2014-01-02 14:00,5.5,,2.9,270,19,1.7,-16.3,1010.6,1,1.54,,0,,4.9
108,서울,2014-01-02 15:00,5.6,,2.8,290,18,1.6,-16.9,1010.5,1,1.23,,0,,2
108,서울,2014-01-02 16:00,6,,2,270,19,1.8,-15.9,1010.7,1,.77,,0,,.4
108,서울,2014-01-02 17:00,5,,1.8,290,21,1.8,-15.5,1010.8,1,.3,,0,,.1
108,서울,2014-01-02 18:00,3.3,,1.5,270,27,2.1,-13.9,1010.4,.1,.01,,0,,-.1
108,서울,2014-01-02 19:00,2.7,,1.9,290,28,2.1,-14,1010.7,,,,,,-.3
108,서울,2014-01-02 20:00,1.5,,2,270,34,2.3,-12.6,1010.3,,,,,,-.4
108,서울,2014-01-02 21:00,.9,,.9,290,34,2.2,-13.2,1010.2,,,,1,Ci,-.5
108,서울,2014-01-02 22:00,.5,,1.2,270,39,2.5,-11.8,1010.6,,,,,,-.6
108,서울,2014-01-02 23:00,.3,,1,270,43,2.7,-10.8,1010.5,,,,,,-.7
108,서울,2014-01-03 00:00,-.1,,1.7,50,46,2.8,-10.3,1009.9,,,,0,,-1
108,서울,2014-01-03 01:00,-.6,,1.4,20,44,2.6,-11.3,1010,,,,,,-1.2
108,서울,2014-01-03 02:00,-.5,,1.6,50,50,3,-9.6,1009.6,,,,,,-1.4
